WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC WORD	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANS SYNON1	TRANS SYNON2	TRANS SYNON3	TRANS SYNON4	TRANS SYNON5	TRANS SYNON6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
estar entre la espada y la pared			1p	VLc		3			boahtit váttes dillái		Pfs																					
espalda	F			N		1			sealgi		N								cargar a la espalda	bidjat sealgái												
espalda	F			N		2			čielgi		N								dolor de espalda	čielgebávččas												
a espaldas				AdvLc		1			sealggabealde		Adv								Ha tomado la decisión a mis espaldas.	Son lea mearridan dan mu sealggabealde.												
caer de espaldas			2o	VLc		1			selgošii gahččat		VLc	IV																				
caerse de espaldas			2o	VLc		2			selgošii gahččat		VLc	Prnl, IV																				
con la espalda hacia				AdvLc		1			selggiid		Adv								Ponte con la espalda hacia la pared.	Čohkket seaidnái selggiid.												
dar la espalda			1r	VLc		1			jorgalit sealggi		VLc	TV, + a							Cuando se quedó en paro le dieron la espalda.	Go son gárttai bargguhisvuhtii, de sii jorgaledje sealggaid sutnje.												
de espaldas a				AdvLc		1			almmá beroškeahttá		Pfs								En esa ciudad viven de espaldas al mar.	Dat gávpi ásahuvvon almmá beroškeahttá mearas.	En esa ciudad viven de espaldas al mar.	Dat gávpi ii beroš oppanassiige mearas.										
por la espalda				AdvLc		1			čihkosis		Adv								Le asesinaron por la espalda.	Su godde čihkosis.												
especia	F			N		1			máistta		N																					
especia	F			N		2			njattašaddu		N																					
especia	F			N		3			álbmešaddu		N																					
especialidad	F			N		1			dovdomearka dahjege buvttadus mii dahko erenoamáš bures, restauránttas		Pfs								La sopa de cebolla es la especialidad de la casa.	Lávkemálli lea erenoamáš buorre dán restauránttas.												
especialidad	F			N		2			fága		N								Estudió medicina con la especialidad de cardiología.	Son váccii váibmodiehtaga fága doavttiroahpu.												
especialidad	F			N		3			sierrasuorgi		N																					
especializado	M,F			A		1			spesialiserejuvvon		A																					
espejo	M			N		1			speajal		N	UseAlso: Figuratiiva							Ese libro es espejo de sus sentimientos.	Dat girji lea su dovdduid speajal.	La cara es el espejo del alma.	Ámadadju lea sielu speajal.										
espejo	M			N		2			speadjal		N																					
mirarse en el espejo			1a	VLc		1	Figuratiiva, Negatiivvalaš mearkkašumiin		ieš rámidit		VLc	Prnl, ReflV																				
esperanza	F			N		1			doaivva		N																					
esperanza	F			N		2			doaivu		N																					
la esperanza es lo último que se pierde				Lc		1			cealkka mii heive dillái masa ii gávdno makkárge čoavddus		Pfs																					
esperar			1a	V		1			vuordit		V	TV							Te estuve esperando en la puerta del cine durante media hora.	Ledjen vuordimin du kinouvssas diibmobeali.												
esperar			1a	V		2			vuordit dassá go		VLc	IV, + a, + hasta							Para empezar a practicar hay que esperar a aprobar todas las asignaturas obligatorias.	Ovdal go hárjehallagoahtit, ferte vuordit dassá go buot geatnegahtton fágain leat ceavzán.												
esperar			1a	V		3			doaivut		V	TV							Espero que vendrá puntualmente.	Mun doaivvun ahte son boahtá dihto áigái.												
esperar			1a	V		4			sávvat		V	TV							Espero que tengas un buen viaje.	Mun sávan ahte dus lea buorre mátki.												
se espera			1a	VLc		1			vurdojuvvo		V	TV, Imp, 3per							Se espera un verano muy seco.	Vurdojuvvo ahte boahtte geassi šaddá hui goikkis.												
se espera			1a	VLc		2			doivojuvvo		V	TV, Imp, 3per																				
ser de esperar			2w	VLc		1			leat vurdon		VLc	IV							Era de esperar que no viniera.	Lei vurdon ahte son ii áigon boahtit.												
espeso	M,F			A		1			suohkat		A																					
espeso	M,F			A		2			sáhkat		A																					
espíritu	M			N		1			vuoiŋa		N								Espíritu Santo	Bassi Vuoigŋa	el espíritu de una obra	bargovuoiŋa										
espíritu	M			N		2	Fantasma		balddonas		N																					
espíritu	M			N		3	Fantasma		gobmi		N																					
espíritu	M			N		4	Fantasma		jámeš		N																					
espíritu	M			N		5	Fantasma		jámet		N																					
espiritual	M/F			A		1			vuoiŋŋalaš		A																					
esposa	F			N		1			eamit		N																					
esposo	M			N		1			isit		N																					
esposo	M			N		2			boadnjá		N																					
esposo	M			N		3			dievdu		N																					
esqueleto	M			N		1			dákteriggi		N																					
esqueleto	M			N		2	Figuratiiva		skovvi		N								Tengo ya el esqueleto de la tesis.	Mus lea juo nákkosgirjji skovvi.												
esquiar			1a	V		1			čuoigat		V	IV							esquiar montaña arriba	čuoigat várrái	esquiar en la montaña	čuoigat váris	esquiar bajando	njiedjat čuoigga								
esquina	F			N		1			čiehka		N																					
esquina	F			N		2			nurki		N																					
a la vuelta de la esquina				AdvLc		1			nurkki birra		AdvLc																					
saque de esquina	F			NLc		1	Fútbol		sisravdačievččastat		N																					
estado	M			N		1			dilli		N								Su estado de salud ha mejorado.	Su dearvvasvuođa dilli lea buorránan.												
estado	M			N		2	Política		stáhta		N																					
estado	M			N		3	Política, parte territorial de un estado		guovllu viidodat		NLc																					
estado	M			N		4	Política, dentro de un estado federal		oassestáhta		N																					
estado	M			N		5	Física		dilli		N								estado sólido	čavges dilli	estado líquido	golgguslaš dilli	estado gaseoso	gássa dilli								
en estado avanzado				AdvLc		1			loahpageahčen		Adv								La enfermedad está en estado avanzado.	Buozalmas lea loahpageahčen.												
en estado inicial				AdvLc		1			álggogeahčen		Adv								La enfermedad está en estado inicial.	Buozalmas lea álggogeahčen.												
estado civil				NLc		1	Juridihkka		siviila dilli		NLc																					
estado civil				NLc		2	Juridihkka		siviila seahtu		NLc																					
estado de ánimo	M			NLc		1			miellalatnja		N																					
estado de ánimo	M			NLc		2			miella		N																					
estado de ánimo	M			NLc		3			gopma		N																					
estado de excepción	M			NLc		1	Politihkka		heahtedilli		N																					
estado de guerra	M			NLc		1	Politihkka		soahtedilli		N																					
estado federal	M			NLc		1	Politihkka		lihttostáhta		N																					
estar en estado			1p	VLc		1			leat áhpeheapme		VLc	IV																				
estar en estado			1p	VLc		2			leat eahpeveaddji		VLc	IV																				
estar en estado			1p	VLc		3			vázzit máná		VLc	IV																				
golpe de estado	M			NLc		1			riikka gomiheapmi		NLc																					
golpe de estado	M			NLc		2			válderihpan		N																					
estar			1p	V		1	Geavaha go predikáhta meinnestuvvo subjeavtta dili ja eavttuid duohken		leat		V	IV, Geahča: ser							Estoy en Oslo.	Lean Oslos.	¿Dónde estás?	Gos leat?	¿Estás casada?	Leat go don náitalan?	Estoy de buen humor.	Mun lean movtta.						
estar			1p	V		2			heivet		V	IV, WObjPron							Los pantalones te están bien.	Buvssat heivejit bures dutnje.												
estar			1p	V		3			leat		V	AuxV, + Ger, Saam: + ActEss							Está sacando una foto.	Son lea govvideamen.	Está estudiando arquitectura.	Son lea studeremin arkitektuvrra.	Ahora está siendo operado.	Son lea dál čuohpaduvvomin.								
estarse			1p	V		4			leat measta		VLc	Prnl, IV, + Ger, Saam: + PrfPrc							Se está muriendo.	Son lea measta jápmán.												
estarse			1p	V		5			leat		VLc	Prnl, IV, + Ger, Saam: + Ger							Se está muriendo.	Son lea jápmimin.												
estatua	F			N		1			govvabázzi		N																					
estatua	F			N		2			bázzi		N																					
estatua	F			N		3			govvačuolus		N																					
este	M,F			A, Dem		1			dat		A, Dem								Este espacio es pequeño.	Dat latnja lea gárži.	Esta puerta abre mal.	Dat uksa doaibmá hejodit.										
este	M,F			A, Dem		2			dát		A, Dem																					
este	M,F			Pron, Dem		1			dat		Pron, Dem								El libro que leímos es este.	Girji man mii logaimet lea dat.												
este	M,F			Pron, Dem		2			dát		Pron, Dem																					
este	M			N		1	El punto cardinal		nuorta		N																					
estela	F			N		1	En el agua		lođas		N								estelas en la mar	meara lođđasat												
estela	F			N		2	En el agua		luoksa		N																					
estela	F			N		3	En la nieve, de los esquíes		láhttu		N																					
estela	F			N		4	Memorial		luokčan muitogeađgi		NLc																					
estela funeraria	F			NLc		1			hávdebázzi		N																					
estela funeraria	F			NLc		2			hávdegeađgi		N																					
estéreo	M			A		1			stereo		A, N																					
estereofónico	M,F			A		1			stereo		A, N																					
estilo	M			N		1			vuohki		N								estilo de vida	eallinvuohki												
estilo	M			N		2	Para escribir		boares čállinsoairu		Pfs																					
por el estilo				AdvLc		1			seammalágan		A								Lee libros de aventuras y cosas por el estilo.	Son lohká máinnasgirjjiid ja seammaláganiid.												
estima	F			N		1			árvvusatnin		N																					
estimar			1a	V		1			mihtidit		V	TV																				
estimar			1a	V		2			rehkenastit		V	TV							Es difícil estimar el precio de ese cuadro.	Lea váttis rehkenastit dien gova hatti.												
estimar			1a	V		3			árvvoštallat		V	TV																				
estimar			1a	V		4			jáhkkit		V	TV							Estimo que es así.	Mun jáhkán ahte lea nu.												
estimar			1a	V		5			árvvus atnit		VLc	TV							Estimo tu compañía.	Mun anán árvvus leat du searvvis.												
estimar			1a	V		6			gudnis atnit		VLc	TV																				
estimarse			1a	V		7			rehkenuššat		V	PassV, Imp, 3per							Las pérdidas se estiman en varios cientos de millones.	Vahágiid rehkenuššet čuohte miljovdnii.												
estimulante	M/F			A		1			virkkosmahtti		A								una comida estimulante	virkkosmahtti biebmu												
estimulante	M/F			A		2			virkkosmahttin-		Attr	Saam: Cmpnd							una comida estimulante	virkkosmahttinbiebmu												
estimulante	M/F			A		3			áhpásmahtti		A																					
estimulante	M/F			A		4			áhpásmahttin-		Attr	Saam: Cmpnd																				
estimulante	M/F			A		5			arvvosmahtti		A								una idea estimulante	arvvosmahtti jurdda												
estimulante	M/F			A		6			arvvosmahttin-		Attr	Saam: Cmpnd							una idea estimulante	arvvosmahttinjurdda												
estimulante	M			N		1			virkkosmahttinávnnas		N								Para estudiar toma estimulantes.	Son borrá virkkosmahttinávdnasiid studeredettiin.												
estimulante	M			N		2			virkkosmahttindálkkas		N																					
estimular			1a	V		1			virkkosmahttit		V	TV							El vino estimula el apetito.	Viidna nealggi virkkosmahttá.												
estimular			1a	V		2			movttiidahttit		V	TV																				
estimular			1a	V		3			áhpásmahttit		V	TV							El deporte estimula los músculos.	Valáštallan áhpásmahttá váhkáid.												
estimular			1a	V		4			movttegahttit		V	TV							El maestro estimula a los alumnos.	Oahpaheaddji movttegahttá ohppiid.												
esto				Pron		1			dat		Pron								Esto indica mucha maldad.	Dat čájeha ollu bahávuođa.	Das mun balan erenoamažit.	Esto lo temo especialmente.										
esto				Pron		2			dát		Pron																					
estómago	M			N		1			čoavji		N																					
estrechamente				Adv		1			gáržžit		Adv								El camino pasa estrechamente por el desfiladero.	Geaidnu manná gáržžit ávžžis.												
estrechamente				Adv		2			dárkilit		Adv								Cumplirás las instrucciones estrechamente.	Don deavddát neavvagiid dárkilit.												
estrechamente				Adv		3			lahkalagaid		Adv								Esas dos ideas están estrechamente relacionadas.	Diet guokte jurdaga leat lahkalagaid čuolbmaduvvon.												
estrecho	M,F			A		1			bahkat		A																					
estrecho	M,F			A		2			gárži		A																					
estrecho	M,F			A		3			seaggi		A																					
estrecho	M,F			A		4			geazzi		A																					
estrecho	M,F			A		5	La ropa		baski		A																					
estrecho	M,F			A		6	Escaso		nohkavaš		A								Nuestros recursos son estrechos.	Min resurssat leat nohkavaččat.												
estrecho	M,F			A		7	Escaso		vánis		A																					
estrecho	M,F			A		8	Escaso		birzzehas		A																					
estrecho	M,F			A		9			snoakkis		A								Un salario tan estrecho no da para vivir.	Nu snoakkis bálká ii leat doarvái eallit.												
estrecho	M,F			A		10	Figuratiiva		duihmi		A	Pred							Mis estudiantes son un poco estrechos.	Mu oahppit leat veahá duihmmit.												
estrecho	M,F			A		11	Figuratiiva		oanehisjierpmat		A	Pred																				
estrecho	M			N		1	Geografía		nuorri		N								Estrecho de Gibraltar	Gibraltar Nuorri												
estrecho	M			N		2	Geografía		čoalbmi		N																					
estrecho	M			N		3	Significado general, el paso		bohki		N								Para llegar a la cima pasaron por un estrecho empedrado.	Vai ollet bajágeahčái, de sii vázze geađgebogis.												
estrella	F			N		1			násti		N																					
estrella	F			N		2	Figuratiiva		násti		N								una estrella del rock	rohka násti												
estrella polar	F			N		1			boahji		N																					
estrella polar	F			N		2			boahjenávli		N																					
estrella polar	F			N		3			almmičuolda		N																					
estrés	M			N		1			dilihuddan		N																					
estrés	M			N		2			stressa		N																					
estropear			1a	V		1			bilidit		V	TV							estropear un vestido	bilidit biktasiid												
estropear			1a	V		2			bilistit		V	TV																				
estropear			1a	V		3			billistit		V	TV																				
estropearse			1a	V		4			billašuvvat		V	PassV, Imp, 3per							El reloj se ha estropeado.	diibmu lea billašuvvan.												
estropearse			1a	V		5	El pescado, la carne		lánastuvvat		V	PassV, Imp, 3per																				
estropearse			1a	V		6	El pescado		geasáiduvvat		V	PassV, Imp, 3per							Ese salmón se ha estropeado.	Dat luossa lea geasáiduvvan.												
estropearse			1a	V		7	El pescado		geassáduvvat		V	PassV, Imp, 3per																				
estudiante	M/F			N		1			oahppi		N																					
estudiante	M/F			N		2			lohkki		N																					
estudiante de bachillerato	M/F			NLc		1			joatkkaskuvlla oahppi		NLc																					
estudiar			1b	V		1			lohkat		V	TV, UseAlso: + para							Estudia medicina.	Son lohká doavttiroahpu.	Estudia para ser dentista.	Lohká bátnedoavttiroahpu.										
estudiar			1b	V		2			studeret		V	TV, UseAlso: + para																				
estudiar			1b	V		3	Aclarar, investigar		dárkkuhit		V	TV							Tenemos que estudiar ese asunto.	Mii fertet dárkkuhit ášši.												
estudiar			1b	V		4	Investigar		dutkat		V	TV																				
estudiarse			1b	V		5			lohkat		V	Prnl, UseTV							¿Te has estudiado la lección?	Leat go don lohkan leavssu?												
estudiarse			1b	V		6			studeret		V	Prnl, UseTV																				
estudio	M			N		1			lohkan		N								estudios de derecho	vuoigatvuođadiehtaga lohkamat												
estudio	M			N		2			oahppovázzin		N																					
estudio	M			N		3			studeren		N																					
estudio	M			N		4	Investigación		dutkkus		N																					
estudio	M			N		5	Investigación		guorahallan		N																					
estudio	M			N		6	Investigación		iskkadeapmi		N																					
estudio	M			N		7	Lugar		studio		N								En su casa tiene un estudio propio.	Sus lea studio ruovttustis.												
estudio	M			N		8	Lugar		atelia		N																					
estudioso	M,F			A		1			viššalis		A								un niño estudioso	viššalis mánná												
estudioso	M,F			A		2			áŋgir		A																					
estudioso	M,F			N		1			diehtti		N								un estudioso de la química	kemiija diehtti												
estudioso	M,F			N		2			ekspearta		N																					
estudioso	M,F			N		3			-máhtolaš		Attr	Saam: Cmpnd																				
estudioso	M,F			N		4			-dáiddolaš		Attr	Saam: Cmpnd																				
estupendo	M,F			A		1			áivan		A																					
estupendo	M,F			A		2			fiinnis		A																					
estupendo	M,F			A		3			ebmui		A																					
estupendo	M,F			A		4			ovddolaš		A																					
estupendo	M,F			A		5			nana buorre		ALc																					
estupendo	M,F			A		6			válljugas		A																					
estupendo	M,F			A		7			áibmadas		A																					
estupendo	M,F			A		8			issoras		A																					
estupendo	M,F			A		9	Sorprendentemente bueno		heammástuhtti		A																					
estupendo	M,F			A		10	Sorprendentemente bueno		imaštuhtti		A																					
estupendo	M,F			A		11	Sorprendentemente bueno		hirpmastuhtti		A																					
estúpido	M,F			A		1			duihmi		A																					
estúpido	M,F			A		2			jalla		A																					
estúpido	M,F			A		3			doavki		A																					
estúpido	M,F			A		4			gáiggas		A																					
evidente	M,F			A		1			čielggas		A																					
evidente	M,F			A		2			oinnolaš		A																					
evidente	M,F			A		3			čalmmus		A																					
evidente	M,F			A		4			čalbmáičuohcci		A																					
evidente	M,F			A		5			jolggalaš		A																					
evitar			1a	V		1	Esquivar, eludir		garvit		V	TV							Es difícil evitar todos los inconvenientes.	Lea váttis garvit buot hehttehusaid.												
evitar			1a	V		2	Esquivar, eludir		vealtat		V	TV																				
evitar			1a	V		3	Esquivar, eludir		vealtit		V	TV																				
evitar			1a	V		4	Esquivar, eludir		vealtadit		V	TV																				
evitar			1a	V		5	Esquivar, eludir		beassat meaddel		V	TV																				
evitar			1a	V		6	Al impedir		dustet		V	TV, Saam: + Loc							Con la medicación evitó el desarrollo de la enfermedad.	Dálkasiin son dustii buozalmasa ovdáneamis.												
evitar			1a	V		7	Al impedir		eastadit		V	TV, Saam: + Loc																				
evitar			1a	V		8	Al impedir		eastit		V	TV, Saam: + Loc																				
evitar			1a	V		9	Al impedir		caggat		V	TV							Al frenar evitó el accidente.	Goahcamiin son cakkai lihkuhisvuođa.												
evitar			1a	V		10	Al impedir		hehttet		V	TV																				
evitar			1a	V		11	Al impedir		heađuštit		V	TV																				
exactamente				Adv		1			aiddolaččat		Adv																					
exactamente				Adv		2			aiddo nu		AdvLc																					
exactamente				Adv		3			aiddo nu fal		AdvLc																					
exactamente				Adv		4			juste		Adv																					
exactitud	F			N		1			dárkilvuohta		N																					
exactitud	F			N		2			aiddolašvuohta		N																					
exacto	M,F			A		1			dárkil		N																					
exagerado	M,F			A		1			badjelmearálaš		A																					
exagerado	M,F			A		2			liiggálaš		A																					
exagerado	M,F			A		3			máđoheapme		A																					
exagerado	M,F			A		4			meariheapme		A																					
exagerar			1a	V		1			stuoridit		V	TV							exagerar los hechos	stuoridit daguid												
exagerar			1a	V		2			stuorástallat		V	TV																				
exagerar			1a	V		3			stuorádallat		V	TV																				
exagerar			1a	V		4			deatnut		V	TV																				
exagerar			1a	V		5			váfistit		V	TV																				
excepto				CC		1			earret		Pr, CC								Veo a todos excepto a Márjá	Mun oainnán buohkaide earret Márjjá.												
exigente	M/F			A		1			gáibideaddji		A																					
exigir			3c	V		1			gáibidit		V	TV							Le exiges demasiado.	Don gáibidat menddo olu sus.	Este profesor exige mucho.	Dát oahpaheaddji gáibida ollu.										
exiliar			1a	V		1			vuojehit riikkas		VLc	TV																				
exiliar			1a	V		2			ádjit riikkas		VLc	TV																				
exiliarse			1a	V		3			báhtarit		VLc	Prnl, IV							El expresidente tuvo que exiliarse.	Ovddeš presideanta fertii báhtarit.												
exiliarse			1a	V		4			mannat báhtarussii		VLc	Prnl, IV																				
exilio	M			N		1			riikkabáhtarus		N																					
exilio	M			N		2			eananbáhtarus		N																					
existir			3a	V		1			leat		V	IV																				
existir			3a	V		2			gávdnot		V	IV							En el universo existen millones de estrellas.	Máilmmiávvosis gávdnojit miljovnnat násttit.												
éxito	M			N		1			menestupmi		N																					
éxito	M			N		2			lihkosteapmi		N																					
éxito	M			N		3			sukseassa		N																					
exótico	M,F			A		1			eksotihkalaš		A																					
exótico	M,F			A		2			eksotálaš		A																					
experimentar			1a	V		1	Prueba, experimento		geahččaladdat		V	TV																				
experimentar			1a	V		2	Prueba, experimento		geahččalit		V	TV																				
experimentar			1a	V		3	Experiencia		vásihit		V	TV							experimentar un contratiempo	vásihit vuostegieđageavvama												
experimentar			1a	V		4	Experiencia		muosáhit		V	TV																				
explicación	F			N		1			čilgehus		N																					
explicación	F			N		2			čielggadus		N																					
explicación	F			N		3	Precisa, desarrollada		válddahus		N																					
explicación	F			N		4	Precisa, desarrollada		bagadallan		N																					
explicación	F			N		5	Precisa, desarrollada		válddahallan		N																					
explicación	F			N		6	Interpretación		dulkon		N																					
explicar			1g	V		1			čilget		V	TV							explicar el porqué de una cosa	čilget siva	Deja que te explique.	Divtte mu čilget dutnje.										
explicar			1g	V		2			čielggadit		V	TV																				
explicar			1g	V		3	Con precisión, con desarrollo		bagadit		V	TV																				
explicar			1g	V		4	Con precisión, con desarrollo		bagadallat		V	TV																				
explicar			1g	V		5	Con precisión, con desarrollo		válddahit		V	TV																				
explicar			1g	V		6	Con precisión, con desarrollo		válddahallat		V	TV																				
explicar			1g	V		7	Interpretar		dulkot		V	TV																				
explicarse			1g	V		8			čilget		V	Prnl, UseTV							Con las matemáticas te explicas muy bien.	Don čilget hui bures matematihka.												
explicarse			1g	V		9			čielggadit		V	Prnl, UseTV																				
explicarse			1g	V		10			ipmirdit		V	Prnl, ReflV, UseTV							No me lo explico.	Mun in sáhte dán ipmirdit.												
explicarse			1g	V		11			áddet		V	Prnl, ReflV, UseTV																				
exploración	F			N		1			iskan		N																					
exploración	F			N		2			iskkadeapmi		N																					
exploración	F			N		3			iskkus		N																					
exploración	F			N		4			dutkan		N																					
exploración	F			N		5			dutkamuš		N																					
explorador	M,F			N		1			iskkár		A																					
explorador	M,F			N		2			gávnnár		A																					
explorador	M			N		3	De internet		ohcanprográmma		N																					
explorar			1a	V		1			iskat		V	TV							explorar a un enfermo	iskat buohcci												
explorar			1a	V		2			dutkat		V	TV							explorar una caverna	dutkat báktebora												
explorar			1a	V		3			čielggasmahttit		V	TV							Al mirarle, exploraba sus intenciones.	Go su geahčai, de čielggasmahtii su sávaldagaid.												
explotación	F			N		1	Uso, obtención de beneficio		ávkkástallan		N																					
explotación	F			N		2	Actividad, industria		doallu		N																					
explotación	F			N		3	Minera y por perforación		roggan		N																					
explotación	F			N		4	Por perforación		bohkan		N																					
explotar			1a	V		1			bávkkihit		V	IV							La bomba explotó a las ocho.	Bomba bávkkihii diimmu gávccis.												
explotar			1a	V		2	Utilizar, obtener beneficio		ávkkuhit		V	TV							explotar un negocio	ávkkuhit fitnodagas												
explotar			2a	V		3	Utilizar, obtener beneficio		atnit ávkki		V	TV																				
explosión	F			N		1			bávkkiheapmi		N																					
explosión	F			N		2			bávkaleapmi		N																					
exponer			2r	V		1	Mostrar		čájehit		V	TV																				
exponer			2r	V		2	Presentar		čájáhallat		V	TV																				
exponer			2r	V		3	Presentar		ovdanbuktit		V	TV																				
exponer			2r	V		4	Explicar		čilget		V	TV																				
exponer			2r	V		5	Fotografía		čuvget		V	TV																				
exponer			2r	V		6	Fotografía		eksponeret		V	TV																				
exponerse			2r	V		7			risikeret		V	Prnl, IV																				
exposición	F			N		1			čájáhus		N								exposición de arte	dáiddačájáhus	exposición universal	máilmmičájáhus										
exposición	F			N		2			čájehus		N																					
exposición	F			N		3	Presentación		čájáhallan		N																					
exposición	F			N		4	Presentación		ovdanbuktin		N																					
exposición	F			N		5	Explicación		čilgen		N																					
expresar			1a	V		1			olggosbuktit		V	TV							expresar un sentimiento	olggosbuktit dovddu												
expresar			1a	V		2	Con palabras		cealkkašit		V	TV																				
expresar			1a	V		3	Con palabras		cealkkihit		V	TV																				
expresar			1a	V		4	Con palabras		báhkkodit		V	TV																				
expresar			1a	V		5	Decir		dadjat		V	TV																				
expresar			1a	V		6	Escribir		čállit		V	TV																				
expresar			1a	V		7	Con el gesto facial		geahčastat		V	TV																				
expresar			1a	V		8	Con el comportamiento		láhttestit		V	TV																				
expresarse			1a	V		9			muitalit iežas birra		VLc	Prnl, ReflV							Los artistas se expresan.	Dáidárat muitalit iežaset birra.												
expresión	F					1			olggosbuktin		N																					
expresión	F					2	Verbal		cealkin		N																					
expresión	F					3	Proposición, oración		cealkka		N																					
extender			2g	V		1	Ampliar, aumentar		viiddidit		V	TV																				
extender			2g	V		2	Al amasar, al untar		njuvdit		V	TV																				
extenderse			2g	V		3	La enfermedad, el olor, la sustancia, la gente, etc.		leavvat		V	Prnl, IV																				
extenderse			2g	V		4	Ampliarse, expandirse		viidánit		V	Imp, 3per																				
extenderse			2g	V		5	Tiempo / Áigi		bistit		V	Imp, 3per							El plazo se extiende hasta el sábado.	Áigemearri bistá lávvardahkii.												
extensión	F			N		1			govdodat		N								La tundra tiene una gran extensión.	Duoddaris lea govdodat.												
extensión	F			N		2			viidodat		N																					
extensión	F			N		3	Figuratiiva		viidodat		N								La extensión de sus conocimientos es enorme.	Sus lea issoras dieđu viidodat.												
extensión	F			N		4			ložžen		N								En el gimnasio practicó ejercicios de extensión de los músculos.	Lášmmohallamis son geardduhii suonaid ložženhárjehusaid.												
extensión	F			N		5			viiddideapmi		N								Estoy haciendo una extensión de mi casa.	Mun lean bargamin viessoviiddidemiin.												
extracto	M			N		1			váldooassi		N								Expuso un extracto de la tesis.	Son ovdanbuvttii nákkosgirjji váldooasi.												
extracto	M			N		2	Bancario		kontodieđáhus		N																					
extracto	M			N		3			oppalaš geahčastat		NLc								Sólo voy a ofrecer un extracto de mi trabajo.	Mun dušše attán iežan barggu oppalaš geahčastaga.												
extracto	M			N		4			ollislaš geahčastat		NLc																					
extracto	M			N		5			cohkodat		N								extracto de limón	sitroncohkodat												
extraer	2p			V		1			gaikut		V	TV																				
extraer	2p			V		2			váldit eret		VLc	TV																				
extrañar			1a	V		1			áibbašit		V	TV							Extraña a sus padres.	Áibbaša iežas váhnemiidda.												
extrañarse			1a	V		2			imaštit		V	Prnl, UseTV							Me extraña que no escriba.	Mun imaštan go son ii čále.	Se extrañó de verle ahí.	Son imaštii oaidnit su doppe.										
extrañarse			1a	V		3			amašit		V	Prnl, UseTV							Me extraña el vestido que llevas.	Mun amašan dan biktasa maid guottát.												
fácil	M/F			A		1			álki		A																					
fácil	M/F			A		2			healpu		A																					
fácil	M/F			A		3	Simple		geahpas		A																					
fácil	M/F			A		4	La ropa		dimis		A								Es una prenda fácil de llevar.	Bivttas lea dimis.												
fácil	M/F			A		5	La ropa de piel		mievkkis		A																					
fácil	M/F			A		6	El carácter		njuoras		A																					
fácil	M/F			A		7	El carácter		láđis		A																					
fácil	M/F			A		8	El carácter		rabasmielalaš		A																					
fácil	M/F			A		9	El carácter		rabasmielat		A																					
fácil	M/F			A		10	Nissoniidda, Pejoratiiva		geahppa		A								una mujer fácil	gehppes nisu												
facilidad	F			N		1			álkivuohta		N																					
fácilmente				Adv		1			álkit		Adv																					
fácilmente				Adv		2			healput		Adv																					
fácilmente				Adv		3			geahppadit		Adv																					
factura	F			N		1			rehket		N																					
facturar			1a	V		1			addit rehkenastin dieđáhusa		Pfs	TV																				
facturar			1a	V		2			bidjat rehkega		Pfs	TV																				
facturar			1a	V		3	Equipaje		doalvut gálvvu		VLc	TV																				
facultad	F			N		1	Competencia personal		máhttu		N																					
facultad	F			N		2	Competencia personal		gálga																							
facultad	F			N		3	Competencia personal		návccat																							
facultad	F			N		4	Competencia personal		veadju																							
facultad	F			N		5	Competencia personal		čehppodat																							
facultad	F			N		6	Competencia personal		gelbbolašvuohta																							
facultad	F			N		7	Competencia administrativa		váldi		N								El secretario no tiene la facultad de sancionar.	Čállis ii leat sáhkkováldi.												
facultad	F			N		8	Competencia administrativa		vuoigatvuohta																							
facultad	F			N		9	Competencia administrativa		lohpi																							
facultad	F			N		10			fakulteahtta		N								facultad de humanidades	humanisttalaš fakulteahtta												
falda	F			N		1	Ropa		vuolpu		N																					
falda	F			N		2	De la montaña		várrevielti		N																					
falda	F			N		3	Pieza de carne		gilgabiffa		N																					
salir de las faldas			3r	VLc		1	Figuratiiva		rávásmuvvat		V	IV							Ese niño tiene que salir de las faldas de su madre.	Dát mánná ferte rávásmuvvat.												
fallar			1a	V		1			bissánit		V	IV							Le falló el corazón.	Su váibmu bissánii.	Los frenos fallaron.	Goazanat bissánedje.										
fallar			1a	V		2	En un concurso		mearridit		V	TV																				
fallar			1a	V		3	Jurídico		dubmet		V	TV																				
fallar			1a	V		4	Jurídico		mearridit duomu		VLc	TV																				
fallo	M			N		1			meattáhus		N																					
fallo	M			N		2			meaddádus		N																					
fallo	M			N		3			boastuvuohta		N																					
fallo	M			N		4			feaila		N																					
fallo	M			N		5	En un concurso		mearrádus		N																					
fallo	M			N		6	En un juicio		duopmu		N																					
falta	F			N		1	Escasez		váili		N								falta de recursos	resurssaid váili												
falta	F			N		2	Escasez		vátnivuohta		N																					
falta	F			N		3	Escasez		heahti		N																					
falta	F			N		4	Error		meattáhus		N								falta de ortografía	riektačállinmeattáhus												
falta	F			N		5	Error		boasttuvuohta		N																					
falta	F			N		6	Error		feaila		N																					
